Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
146,5.902,True,641.0,305.0,776.0,305.0,0.2835,False,3,-8.621929205547215,-21.120294913423532,-177.02983493398486,Center,Up,False,0.454,0.459,Looking Up
147,5.942,True,642.0,304.0,775.0,304.0,0.278,False,3,-8.69010290874597,-20.381554792577145,-177.00673757857942,Center,Up,False,0.463,0.471,Looking Up
148,5.982,True,641.0,304.0,774.0,304.0,0.2773,False,3,-8.794287228808766,-20.39570352060452,-176.88344530997443,Center,Up,False,0.466,0.466,Looking Up
149,6.023,True,641.0,304.0,774.0,303.0,0.2802,False,3,-9.334464872808766,-19.330494421640534,-176.95931880792008,Center,Up,False,0.471,0.489,Looking Up
150,6.063,True,641.0,303.0,773.0,302.0,0.2916,False,3,-8.99822023110489,-19.40625327402506,-176.91181790055566,Center,Up,False,0.458,0.469,Looking Up
151,6.104,True,640.0,302.0,772.0,301.0,0.2874,False,3,-9.635027276044001,-19.501831378847506,-176.75101722881936,Center,Up,False,0.492,0.516,Looking Up
152,6.144,True,639.0,301.0,771.0,301.0,0.2785,False,3,-10.380748182724833,-19.90914712921002,-176.22392694053067,Center,Up,False,0.484,0.498,Looking Up
153,6.185,True,639.0,302.0,770.0,301.0,0.2811,False,3,-10.393337117541247,-18.658507140242865,-176.47736444774412,Center,Up,False,0.474,0.497,Looking Up
154,6.225,True,638.0,301.0,769.0,301.0,0.2845,False,3,-10.260150611073772,-19.38520369929819,-176.09804874710858,Center,Up,False,0.473,0.496,Looking Up
155,6.265,True,637.0,301.0,768.0,301.0,0.2774,False,3,-11.238147090306281,-18.410920846318724,-175.9928598581067,Center,Up,False,0.478,0.532,Looking Up
156,6.306,True,636.0,301.0,766.0,300.0,0.2784,False,3,-11.374148168012246,-18.909241189205265,-175.75455465092557,Center,Up,False,0.475,0.519,Looking Up
157,6.346,True,634.0,301.0,764.0,300.0,0.2899,False,3,-11.85492207681041,-17.841279075817038,-175.58249846119054,Center,Up,False,0.474,0.532,Looking Up
158,6.387,True,632.0,301.0,762.0,301.0,0.2903,False,3,-12.46134814577027,-17.59871800810136,-175.60258220772354,Center,Up,False,0.482,0.546,Looking Up
159,6.427,True,632.0,300.0,760.0,300.0,0.2936,False,3,-13.616512076286147,-16.61575616100019,-175.43868867352626,Center,Up,False,0.492,0.562,Looking Up
160,6.468,True,631.0,300.0,759.0,300.0,0.2931,False,3,-14.777292546011282,-17.333258813684246,-174.74730561031365,Center,Up,False,0.51,0.59,Looking Up
161,6.508,True,630.0,300.0,756.0,300.0,0.2784,False,3,-14.826961411108677,-17.15611363118099,-174.91047312169485,Center,Up,False,0.541,0.686,Looking Up
